secteur;Activity;Country;Haul;Class;Type;Material;Fuel;load;Waste type;Size;Unit;Year;kg CO2e;kg CO2;kg CH4;kg N2O;;;
Transmission and distribution;T&D- UK electricity;;;;UK;;;;;;kWh;2018;0,02413;0,02394;0,00006;0,00013;;;
Transmission and distribution;Distribution - district heat & steam;;;;5% loss;;;;;;kWh;2018;0,00987;0,00980;0,00003;0,00003;;;
WTT- fuels;Gaseous fuels;;;;;;CNG;;;;tonnes;;551,8    ;;;;;;
WTT- fuels;Gaseous fuels;;;;;;CNG;;;;litres;;  0,09657  ;;;;;;
WTT- fuels;Gaseous fuels;;;;;;CNG;;;;kWh (Net CV);;  0,04106;;;;;;
WTT- fuels;Gaseous fuels;;;;;;CNG;;;;kWh (Gross CV);;  0,03696;;;;;;
WTT- fuels;Gaseous fuels;;;;;;LNG;;;;tonnes;;948,2    ;;;;;;
WTT- fuels;Gaseous fuels;;;;;;LNG;;;;litres;;  0,42903;;;;;;
WTT- fuels;Gaseous fuels;;;;;;LNG;;;;kWh (Net CV);;  0,07055;;;;;;
WTT- fuels;Gaseous fuels;;;;;;LNG;;;;kWh (Gross CV);;  0,0635 ;;;;;;
WTT- fuels;Gaseous fuels;;;;;;LPG;;;;tonnes;;369,4    ;;;;;;
WTT- fuels;Gaseous fuels;;;;;;LPG;;;;litres;;  0,19102;;;;;;
WTT- fuels;Gaseous fuels;;;;;;LPG;;;;kWh (Net CV);;  0,02896;;;;;;
WTT- fuels;Gaseous fuels;;;;;;LPG;;;;kWh (Gross CV);;  0,02697;;;;;;
WTT- fuels;Gaseous fuels;;;;;;Natural gas;;;;tonnes;;381,8    ;;;;;;
WTT- fuels;Gaseous fuels;;;;;;Natural gas;;;;cubic metres;;  0,2845 ;;;;;;
WTT- fuels;Gaseous fuels;;;;;;Natural gas;;;;kWh (Net CV);;  0,02841;;;;;;
WTT- fuels;Gaseous fuels;;;;;;Natural gas;;;;kWh (Gross CV);;  0,02557;;;;;;
WTT- fuels;Gaseous fuels;;;;;;Other petroleum gas;;;;tonnes;;316,8    ;;;;;;
WTT- fuels;Gaseous fuels;;;;;;Other petroleum gas;;;;litres;;  0,11603;;;;;;
